atletas.nome;atletas.atleta_id;atletas.rodada_id;atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.media_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;resultado.partida;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
Matheus Ferraz Pereira;38632;29;zag;Provável;3.6;7.23;3.08;América-MG;1;0;0;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;bom
Adilson Dias Batista;41258;29;tec;Provável;5.77;9.6;3.36;América-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;bom
Gerson Alencar de Lima Junior;50401;29;mei;Provável;-2.2;3.5;1.98;América-MG;1;0;1;1;0;0;3;0;6;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;ruim
Leandro Donizete Gonçalves da Silva;51318;29;mei;Provável;-3.4;1.17;0.48;América-MG;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;ruim
Luan Michel;60834;29;ata;Provável;0.2;8.77;2.24;América-MG;3;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;ruim
Carlos Emiliano Pereira;63194;29;lat;Provável;10.3;12.55;5.29;América-MG;1;1;0;0;0;0;7;0;3;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;bom
João Ricardo Riedi;81881;29;gol;Provável;-8.6;7.63;4.18;América-MG;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;bom
Adilson dos Anjos Oliveira;82381;29;mei;Provável;0.5;8.34;3.23;América-MG;3;0;0;1;0;0;2;0;5;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;ruim
Ruy Franco de Almeida Junior;82939;29;mei;Provável;3.6;4.7;1.81;América-MG;0;1;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;bom
Messias Rodrigues da Silva Júnior;87402;29;zag;Provável;-0.3;8.98;2.8;América-MG;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;sim;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;bom
Aderlan de Lima Silva;88423;29;lat;Provável;0.0;5.03;3.62;América-MG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nao;derrota;Atlético-PR;0 x 4;Atlético-MG;30.33;casa;bom
